2302517-0,STEAM_1:1:622699,Splyce summit,Splyce
2302517-0,STEAM_1:1:8441535,fREAKAZOiD,Splyce
2302517-0,STEAM_1:0:26438284,LG * TACO <CyberPower>,Luminosity
2302517-0,STEAM_1:1:205888,Splyce arya,Splyce
2302517-0,STEAM_1:0:85089287,LG * fnxNTC -aa-,Luminosity
2302517-0,STEAM_1:1:50267148,Splyce D4V3Y   /s/,Splyce
2302517-0,STEAM_1:1:50267148,Splyce D4V3Y   /s/,Splyce
2302517-0,STEAM_1:1:50267148,Splyce D4V3Y   /s/,Splyce
2302517-0,STEAM_1:1:50267148,Splyce D4V3Y   /s/,Splyce
2302517-0,STEAM_1:1:212233,LG * FALLEN <Wild>,Luminosity
2302517-0,STEAM_1:1:39860435,LG * coldzera:v <HyperX>,Luminosity
2302517-0,STEAM_1:1:12434296,Splyce JR,Splyce
2302517-0,STEAM_1:1:19460609,LG * ferMii <EGB>,Luminosity
2302518-0,STEAM_1:0:6923914,ptr,NRG
2302518-0,STEAM_1:0:2390312,TS LUCAS1 <GFUEL>,Tempo Storm
2302518-0,STEAM_1:0:57826746,just9n:>,NRG
2302518-0,STEAM_1:1:10621143,LEGIJA [M],NRG
2302518-0,STEAM_1:0:29056836,TS boltz,Tempo Storm
2302518-0,STEAM_1:1:581082,gob b,NRG
2302518-0,STEAM_1:0:11382883,TS felps <Curse>,Tempo Storm
2302518-0,STEAM_1:0:48969457,TS SHOOWTiME <g2a>,Tempo Storm
2302518-0,STEAM_1:1:28880767,TS HEN1 <Twitch>,Tempo Storm
2302518-0,STEAM_1:0:14468881,SileNt^v^,NRG
2302518-0,STEAM_1:0:14468881,SileNt^v^,NRG
2302519-0,STEAM_1:1:9108123,CLG tarik,CLG
2302519-0,STEAM_1:0:54380041,CLG FugLy,CLG
2302519-0,STEAM_1:0:259380,CLG Cutler,CLG
2302519-0,STEAM_1:1:189358,Slemmy,Cloud9
2302519-0,STEAM_1:0:3611826,CLG jdm^v^ <3 TOM,CLG
2302519-0,STEAM_1:1:10537862,Skadoodle,Cloud9
2302519-0,STEAM_1:1:15152890,CLG hazed,CLG
2302519-0,STEAM_1:0:19369141,Stewie2K-iwnl-,Cloud9
